scoringDxgId,requestNo,contentsName,artistName,dContentsName,dArtistName,damserial,dataKind,dataSize,scoringEngineVersionNumber,edyId,clubDamCardNo,entryCount,topRecordNumber,lastPerformKey,requestNoChapter,requestNoTray,analysisReportCommentNo,radarChartPitch,radarChartStability,radarChartExpressive,radarChartVibratoLongtone,radarChartRhythm,singingRangeHighest,singingRangeLowest,vocalRangeHighest,vocalRangeLowest,intonation,kobushiCount,shakuriCount,fallCount,vibratoCount,timing,longtoneSkill,vibratoSkill,vibratoType,vibratoTotalSecond,nationalAverageTotalPoints,nationalAveragePitch,nationalAverageStability,nationalAverageExpression,nationalAverageVibratoAndLongtone,nationalAverageRhythm,intervalGraphPointsSection01,intervalGraphPointsSection02,intervalGraphPointsSection03,intervalGraphPointsSection04,intervalGraphPointsSection05,intervalGraphPointsSection06,intervalGraphPointsSection07,intervalGraphPointsSection08,intervalGraphPointsSection09,intervalGraphPointsSection10,intervalGraphPointsSection11,intervalGraphPointsSection12,intervalGraphPointsSection13,intervalGraphPointsSection14,intervalGraphPointsSection15,intervalGraphPointsSection16,intervalGraphPointsSection17,intervalGraphPointsSection18,intervalGraphPointsSection19,intervalGraphPointsSection20,intervalGraphPointsSection21,intervalGraphPointsSection22,intervalGraphPointsSection23,intervalGraphPointsSection24,intervalGraphIndexSection01,intervalGraphIndexSection02,intervalGraphIndexSection03,intervalGraphIndexSection04,intervalGraphIndexSection05,intervalGraphIndexSection06,intervalGraphIndexSection07,intervalGraphIndexSection08,intervalGraphIndexSection09,intervalGraphIndexSection10,intervalGraphIndexSection11,intervalGraphIndexSection12,intervalGraphIndexSection13,intervalGraphIndexSection14,intervalGraphIndexSection15,intervalGraphIndexSection16,intervalGraphIndexSection17,intervalGraphIndexSection18,intervalGraphIndexSection19,intervalGraphIndexSection20,intervalGraphIndexSection21,intervalGraphIndexSection22,intervalGraphIndexSection23,intervalGraphIndexSection24,lastTotalPoints,scoringDateTime,expressionGraphPointsSection01,expressionGraphPointsSection02,expressionGraphPointsSection03,expressionGraphPointsSection04,expressionGraphPointsSection05,expressionGraphPointsSection06,expressionGraphPointsSection07,expressionGraphPointsSection08,expressionGraphPointsSection09,expressionGraphPointsSection10,expressionGraphPointsSection11,expressionGraphPointsSection12,expressionGraphPointsSection13,expressionGraphPointsSection14,expressionGraphPointsSection15,expressionGraphPointsSection16,expressionGraphPointsSection17,expressionGraphPointsSection18,expressionGraphPointsSection19,expressionGraphPointsSection20,expressionGraphPointsSection21,expressionGraphPointsSection22,expressionGraphPointsSection23,expressionGraphPointsSection24,expressionGraphIndexSection01,expressionGraphIndexSection02,expressionGraphIndexSection03,expressionGraphIndexSection04,expressionGraphIndexSection05,expressionGraphIndexSection06,expressionGraphIndexSection07,expressionGraphIndexSection08,expressionGraphIndexSection09,expressionGraphIndexSection10,expressionGraphIndexSection11,expressionGraphIndexSection12,expressionGraphIndexSection13,expressionGraphIndexSection14,expressionGraphIndexSection15,expressionGraphIndexSection16,expressionGraphIndexSection17,expressionGraphIndexSection18,expressionGraphIndexSection19,expressionGraphIndexSection20,expressionGraphIndexSection21,expressionGraphIndexSection22,expressionGraphIndexSection23,expressionGraphIndexSection24,bonusType,bonusPoint,favorite
"102289589","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","2892","86","81","58","72","98","76","56","64","47","39","22","5","0","25","5","3","5","5","122","81335","74","67","67","53","95","93","89","88","85","83","93","84","85","90","83","0","0","87","92","84","92","81","85","78","78","82","92","84","88","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","86057","20240510162800","52","41","63","53","53","58","74","53","64","55","0","0","48","38","47","45","70","56","45","53","56","58","73","67","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","1250","0"
"102289593","6056-69","さよならエレジー(生音)","菅田将暉","[生音]さよならエレジー","菅田将暉","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","69","6056","401","88","57","72","84","98","68","49","68","49","49","22","16","3","26","5","7","5","5","140","84393","81","67","74","60","95","95","80","92","86","86","90","97","0","0","97","93","84","87","91","85","86","0","0","89","88","82","84","92","82","1","1","1","1","2","2","2","0","0","1","1","1","2","2","2","2","0","0","1","1","2","2","2","2","0","20240510163321","41","57","61","60","77","66","62","0","0","60","70","57","69","63","69","67","0","0","46","60","77","60","69","67","1","1","1","1","2","2","2","0","0","1","1","1","2","2","2","2","0","0","1","1","2","2","2","2","1","1254","0"
"102289597","4000-10","Tokyo Wabi-Sabi Lullaby","Gawr Gura","Tokyo Wabi-Sabi Lullaby","Gawr Gura","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","10","4000","862","84","51","64","74","99","75","59","75","59","44","14","3","1","25","5","4","5","12","118","78015","74","60","67","53","88","85","83","0","69","86","88","87","96","92","73","78","83","74","87","0","80","84","76","88","91","87","91","89","81","1","1","0","1","1","1","1","1","1","1","2","2","2","2","0","1","1","1","1","1","1","2","2","2","0","20240510163918","35","41","0","25","55","46","46","51","49","42","56","45","50","52","0","61","50","78","51","54","61","67","69","75","1","1","0","1","1","1","1","1","1","1","2","2","2","2","0","1","1","1","1","1","1","2","2","2","1","1099","0"
"102289601","1281-71","いろはすてっぷ！","風真いろは","いろはすてっぷ！","風真いろは","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","71","1281","2762","86","72","61","88","98","75","59","75","59","42","31","3","0","11","5","9","5","10","53","83735","81","74","67","60","95","92","0","94","91","90","90","83","78","91","0","84","81","80","85","82","94","0","0","86","92","82","86","86","91","1","0","1","1","1","2","2","2","2","0","1","1","1","2","2","2","0","0","1","1","2","2","2","2","89213","20240510164517","52","0","68","58","68","73","59","59","57","0","63","61","58","64","54","56","0","0","23","63","63","52","60","56","1","0","1","1","1","2","2","2","2","0","1","1","1","2","2","2","0","0","1","1","2","2","2","2","1","1166","0"
"102289604","3521-75","星が降るユメ","藍井エイル","星が降るユメ","藍井エイル","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","75","3521","1891","91","78","73","85","95","76","55","64","45","51","29","15","0","36","6","7","5","5","168","82686","74","74","74","67","95","92","93","97","88","89","83","95","100","91","91","92","88","93","90","89","0","0","91","98","85","91","91","90","89","1","1","1","1","1","1","2","2","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","2","89702","20240510165139","77","58","72","53","65","71","77","76","69","72","78","73","69","61","61","0","0","53","65","57","60","61","81","77","1","1","1","1","1","1","2","2","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","2","1","1388","0"
"102289607","3521-75","星が降るユメ","藍井エイル","星が降るユメ","藍井エイル","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","75","3521","2461","94","86","68","92","96","76","55","64","43","46","28","21","1","26","6","9","6","5","120","82686","74","74","74","67","95","93","90","92","93","92","92","94","96","100","96","100","100","95","89","94","0","0","94","92","94","91","97","94","95","1","1","1","1","1","1","2","2","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","2","91359","20240510165652","54","54","57","62","64","65","75","62","63","74","59","60","59","72","54","0","0","59","57","54","56","63","78","62","1","1","1","1","1","1","2","2","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","2","1","1524","0"
"102289609","3521-75","星が降るユメ","藍井エイル","星が降るユメ","藍井エイル","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","75","3521","2482","87","59","77","82","94","76","55","76","55","55","15","21","1","20","6","7","4","12","89","82686","74","74","74","67","95","70","86","91","82","83","81","93","91","82","86","89","74","84","82","90","0","0","87","88","98","82","88","93","100","1","1","1","1","1","1","2","2","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","2","94479","20240510170219","39","53","55","69","62","62","68","81","62","78","68","59","71","62","73","0","0","88","85","67","71","69","88","68","1","1","1","1","1","1","2","2","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","2","1","1230","0"
"102289613","4000-37","ビビデバ","星街すいせい","ビビデバ","星街すいせい","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","37","4000","2482","82","56","69","77","88","75","53","75","57","50","24","4","0","9","5","5","4","10","36","81558","74","60","74","46","81","82","85","65","78","82","86","86","83","73","87","83","78","83","70","83","81","0","0","0","85","85","90","87","82","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","0","0","0","2","2","2","2","2","90108","20240510171236","40","62","67","74","80","58","82","75","61","60","61","66","68","59","66","80","0","0","0","70","63","64","68","66","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","0","0","0","2","2","2","2","2","1","562","0"
"102289615","4000-37","ビビデバ","星街すいせい","ビビデバ","星街すいせい","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","37","4000","2882","81","89","63","91","83","75","53","69","44","43","36","1","0","12","5","9","6","12","55","81558","74","60","74","46","81","76","84","79","84","88","83","84","80","71","81","85","82","77","79","78","78","0","0","0","82","81","77","90","83","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","0","0","0","2","2","2","2","2","85744","20240510171613","48","63","67","69","55","63","52","51","70","48","59","52","55","42","57","54","0","0","0","75","51","70","68","61","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","0","0","0","2","2","2","2","2","2","781","0"
"102289617","1260-87","Palette","常闇トワ","Palette","常闇トワ","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","87","1260","741","89","50","75","78","98","76","54","76","54","54","9","12","0","29","5","4","5","2","137","82369","74","67","74","67","95","82","96","94","94","90","92","83","0","0","91","100","96","86","79","85","0","81","91","77","93","100","86","91","100","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","0","1","1","2","2","2","2","2","2","0","20240510172004","58","58","56","37","85","75","78","0","0","65","72","77","83","72","72","0","61","80","76","84","71","58","80","62","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","0","1","1","2","2","2","2","2","2","1","1346","0"
"102289622","1260-87","Palette","常闇トワ","Palette","常闇トワ","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","87","1260","2381","92","58","74","80","97","76","54","76","54","52","6","21","3","38","6","5","5","12","169","82369","74","67","74","67","95","93","93","94","87","94","92","74","0","0","100","94","96","87","100","74","0","100","97","89","89","93","94","94","90","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","0","1","1","2","2","2","2","2","2","89170","20240510172717","48","56","41","45","70","65","82","0","0","60","60","74","78","63","72","0","32","75","67","67","71","65","84","58","1","1","1","1","2","2","2","0","0","1","1","2","2","2","2","0","1","1","2","2","2","2","2","2","1","1480","0"
"102289626","5025-04","奏(かなで)","スキマスイッチ","奏(かなで)","スキマスイッチ","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","04","5025","2971","89","68","68","85","98","70","50","68","50","48","20","10","0","33","5","9","4","2","164","82640","74","67","74","67","95","90","95","95","91","90","78","91","92","95","97","88","92","0","0","0","84","79","83","96","82","87","88","90","84","1","1","1","2","2","2","1","1","1","2","2","2","0","0","0","1","1","1","2","2","2","2","2","2","0","20240510173404","53","54","63","60","67","54","51","55","62","81","68","49","0","0","0","62","58","67","57","77","63","62","71","63","1","1","1","2","2","2","1","1","1","2","2","2","0","0","0","1","1","1","2","2","2","2","2","2","1","1256","0"
"102289631","4016-17","地上の星 [オリカラ](生音)","中島みゆき","[オリカラ]地上の星","中島みゆき","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","17","4016","401","90","45","76","89","91","70","53","58","45","54","26","19","1","56","7","9","5","12","285","81903","74","60","67","67","95","78","85","93","85","96","76","87","0","0","82","94","94","91","89","0","0","0","0","95","100","85","90","100","97","1","1","1","1","1","2","2","0","0","1","1","1","2","2","0","0","0","0","1","1","1","1","2","2","0","20240510174029","60","91","78","69","35","43","63","0","0","73","84","62","74","63","0","0","0","0","49","67","80","61","81","71","1","1","1","1","1","2","2","0","0","1","1","1","2","2","0","0","0","0","1","1","1","1","2","2","1","1249","0"
"102289634","3246-45","灰色と青(+菅田将暉)","米津玄師","灰色と青(+菅田将暉)","米津玄師","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","45","3246","691","88","76","93","81","98","69","47","69","49","71","31","22","3","68","5","5","5","5","357","83105","74","67","81","67","95","93","82","90","83","90","95","88","0","93","83","98","89","88","85","87","0","84","83","80","87","87","83","92","87","1","1","1","1","1","2","2","0","1","1","1","1","1","2","2","0","1","1","2","2","2","2","1","1","89938","20240510174857","52","83","63","69","75","85","81","0","91","92","71","63","83","83","86","0","91","90","89","89","91","75","92","86","1","1","1","1","1","2","2","0","1","1","1","1","1","2","2","0","1","1","2","2","2","2","1","1","3","1594","0"
"102289637","3345-50","星座になれたら(生音)","結束バンド","[生音]星座になれたら","結束バンド","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","50","3345","401","91","48","81","79","79","73","56","61","44","60","20","35","0","48","9","5","5","5","223","81049","74","67","67","67","88","84","96","98","88","100","91","95","91","88","0","97","93","86","94","91","97","72","0","99","88","95","93","88","92","1","1","1","1","1","2","2","2","2","0","1","1","1","2","2","2","2","0","1","1","2","2","2","2","0","20240510175959","86","91","74","87","70","80","87","81","70","0","76","32","72","57","64","64","73","0","39","41","90","43","86","70","1","1","1","1","1","2","2","2","2","0","1","1","1","2","2","2","2","0","1","1","2","2","2","2","1","1430","0"
"102289639","3345-50","星座になれたら(生音)","結束バンド","[生音]星座になれたら","結束バンド","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","50","3345","2533","89","35","89","61","82","73","56","61","44","68","25","34","0","52","9","3","4","13","232","81049","74","67","67","67","88","79","90","90","93","93","85","96","88","72","0","94","90","96","95","84","96","88","0","93","87","91","89","90","93","1","1","1","1","1","2","2","2","2","0","1","1","1","2","2","2","2","0","1","1","2","2","2","2","88010","20240510180520","54","66","79","73","66","85","86","61","85","0","93","79","84","83","88","84","67","0","83","80","87","82","88","86","1","1","1","1","1","2","2","2","2","0","1","1","1","2","2","2","2","0","1","1","2","2","2","2","1","1346","0"
"102289642","3345-50","星座になれたら(生音)","結束バンド","[生音]星座になれたら","結束バンド","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","50","3345","2251","88","3","86","75","82","73","56","61","44","65","24","34","0","52","9","4","5","10","224","81049","74","67","67","67","88","81","91","99","87","74","94","92","86","85","0","91","74","91","91","83","81","77","0","90","91","96","92","93","84","1","1","1","1","1","2","2","2","2","0","1","1","1","2","2","2","2","0","1","1","2","2","2","2","89395","20240510181054","75","67","58","75","90","86","90","81","77","0","81","74","88","78","80","73","61","0","88","79","79","81","79","88","1","1","1","1","1","2","2","2","2","0","1","1","1","2","2","2","2","0","1","1","2","2","2","2","1","1306","0"
"102289645","1276-62","ソワレ","星街すいせい","ソワレ","星街すいせい","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","62","1276","2501","81","73","89","79","98","76","51","76","55","67","22","18","2","29","5","5","5","12","127","80921","74","74","74","60","95","74","90","76","88","81","86","75","0","88","80","89","73","84","90","72","74","0","76","73","78","76","76","96","87","1","1","1","1","2","2","2","0","1","1","1","2","2","2","2","2","0","1","1","2","2","2","2","2","0","20240510181616","63","61","63","72","85","90","78","0","66","74","65","90","90","90","89","83","0","63","82","86","88","84","66","89","1","1","1","1","2","2","2","0","1","1","1","2","2","2","2","2","0","1","1","2","2","2","2","2","3","1918","0"
"102289646","1338-77","リア充★撲滅運動","紫咲シオン","リア充★撲滅運動","紫咲シオン","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","77","1338","862","87","61","60","71","96","76","59","64","47","40","37","7","0","31","5","4","4","12","135","83152","81","60","67","39","88","84","83","92","86","81","85","85","0","88","96","91","94","80","88","92","90","94","81","0","86","80","88","93","88","1","1","1","1","2","2","2","0","1","1","1","1","1","2","2","2","2","2","0","2","2","2","2","2","0","20240510182105","59","50","56","56","56","59","62","0","62","52","56","55","57","55","53","52","52","41","0","87","65","64","50","52","1","1","1","1","2","2","2","0","1","1","1","1","1","2","2","2","2","2","0","2","2","2","2","2","1","1286","0"
"102289650","1331-38","風を仰ぎし麗容な","風真いろは","風を仰ぎし麗容な","風真いろは","AM105154","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","38","1331","2981","90","87","70","90","99","78","50","65","48","51","23","4","0","31","5","9","6","10","140","81355","74","67","67","53","81","0","99","93","92","87","87","85","89","0","91","79","94","96","89","0","0","92","100","0","86","88","0","0","0","0","1","1","1","1","1","2","2","0","1","1","1","1","1","0","0","1","1","0","2","2","0","0","0","0","20240510182533","0","52","43","53","60","87","76","65","0","65","60","71","66","66","0","0","77","62","0","79","72","0","0","0","0","1","1","1","1","1","2","2","0","1","1","1","1","1","0","0","1","1","0","2","2","0","0","0","1","1234","0"
